id,district,latitude,longitude,crop_type,soil_type,field_area_ha,season,avg_temp_c,total_rainfall_mm,fertilizer_type,motor_type,motor_power_hp,flow_rate_lpm,yield_ton_per_ha,water_requirement_liters,irrigation_hours
39,Rahim Yar Khan,28.4209,70.2952,sugarcane,loam,15.44,Kharif,32.0,523.8,FYM,Extra Heavy,30,900,59.6,11580000,214.4
40,Faisalabad,31.4504,73.135,sugarcane,clay loam,9.26,Kharif,26.6,491.7,Urea,Large,10,300,66.2,6945000,385.8
41,Multan,30.1575,71.5249,rice,clay,7.27,Kharif,30.4,618.2,NPK,Large,10,300,4.8,4943600,274.6
42,Sialkot,32.4922,74.5311,sugarcane,loam,3.87,Kharif,31.6,481.2,DAP,Medium,5,120,63.9,2902500,403.1
43,Gujranwala,32.1877,74.1945,sugarcane,loam,25.38,Kharif,34.9,472.0,FYM,Mega,40,1200,54.7,19035000,264.4
44,Gujrat,32.5742,74.0754,gram,sandy loam,11.15,Rabi,20.8,133.1,NPK,Heavy,20,600,2.0,3902500,108.4
45,Karachi,24.8607,67.0011,wheat,silty loam,18.18,Rabi,21.4,224.2,DAP,Extra Heavy,30,900,4.2,8181000,151.5
46,Bahawalpur,29.3956,71.6836,potato,sandy loam,12.22,Rabi,18.8,221.4,FYM,Heavy,20,600,2.1,4888000,135.8
47,Sargodha,32.0836,72.6711,sugarcane,loam,12.12,Kharif,33.6,442.8,FYM,Heavy,20,600,63.3,9090000,252.5
48,Karachi,24.8607,67.0011,potato,sandy loam,5.08,Rabi,18.3,311.7,NPK,Upper Medium,7,200,2.6,2032000,169.3
49,Rawalpindi,33.5651,73.0169,gram,loamy sand,16.71,Rabi,19.5,235.9,None,Extra Heavy,30,900,1.8,5848500,108.3
50,Sheikhupura,31.7131,73.9783,rice,clay loam,30.76,Kharif,34.9,602.2,DAP,Mega,40,1200,4.2,20916800,290.5
51,Kasur,31.1155,74.4466,potato,loam,23.89,Rabi,18.5,260.0,NPK,Extra Heavy,30,900,2.9,9556000,177.0
52,Karachi,24.8607,67.0011,maize,loam,47.04,Kharif,25.1,293.2,Urea,Ultra,50,1500,3.9,22579200,250.9
53,Jhang,31.2682,72.3184,rice,clay loam,3.32,Kharif,31.1,673.4,DAP,Medium,5,120,4.4,2257600,313.6
54,Peshawar,34.0151,71.5249,maize,sandy loam,5.0,Kharif,21.5,303.2,DAP,Medium,5,120,3.5,2400000,333.3
55,Sahiwal,30.6705,73.1063,gram,sandy loam,8.0,Rabi,19.2,133.8,None,Large,10,300,1.5,2800000,155.6
56,Gujrat,32.5742,74.0754,potato,sandy loam,15.38,Rabi,21.8,212.7,Urea,Extra Heavy,30,900,3.5,6152000,113.9
57,Okara,30.8103,73.4513,cotton,loam,1.64,Kharif,34.8,167.2,Urea,Small,3,60,2.6,852800,236.9
58,Multan,30.1575,71.5249,cotton,loam,16.25,Kharif,33.3,291.1,None,Extra Heavy,30,900,1.9,8450000,156.5
59,Peshawar,34.0151,71.5249,rice,clay loam,28.21,Kharif,28.1,728.8,Urea,Mega,40,1200,3.8,19182800,266.4
60,Jhang,31.2682,72.3184,gram,sandy loam,24.65,Rabi,21.6,170.6,None,Extra Heavy,30,900,2.2,8627500,159.8
61,Bahawalpur,29.3956,71.6836,gram,sandy loam,21.75,Rabi,15.8,224.8,NPK,Extra Heavy,30,900,2.4,7612500,141.0
62,Sahiwal,30.6705,73.1063,rice,clay loam,17.81,Kharif,33.9,575.8,FYM,Extra Heavy,30,900,4.8,12110800,224.3
63,Rahim Yar Khan,28.4209,70.2952,gram,loamy sand,1.62,Rabi,15.7,134.2,None,Small,3,60,2.4,567000,157.5
64,Rahim Yar Khan,28.4209,70.2952,gram,sandy loam,9.22,Rabi,19.4,195.9,DAP,Large,10,300,2.2,3227000,179.3
65,Jhang,31.2682,72.3184,maize,loam,23.79,Kharif,29.6,449.6,None,Extra Heavy,30,900,4.0,11419200,211.5
66,Peshawar,34.0151,71.5249,cotton,sandy loam,12.4,Kharif,32.6,346.3,Urea,Heavy,20,600,2.4,6448000,179.1
67,Islamabad,33.6844,73.0479,rice,clay loam,38.04,Kharif,28.6,772.9,DAP,Mega,40,1200,4.1,25867200,359.3
68,Sialkot,32.4922,74.5311,cotton,sandy loam,7.14,Kharif,26.4,258.0,NPK,Large,10,300,1.6,3712800,206.3
69,Okara,30.8103,73.4513,gram,sandy loam,13.46,Rabi,18.3,178.0,NPK,Heavy,20,600,2.5,4711000,130.9
70,Sialkot,32.4922,74.5311,wheat,silty loam,17.31,Rabi,22.6,223.3,FYM,Extra Heavy,30,900,3.7,7789500,144.2
71,Islamabad,33.6844,73.0479,rice,clay,5.82,Kharif,29.1,630.4,DAP,Upper Medium,7,200,4.0,3957600,329.8
72,Okara,30.8103,73.4513,gram,sandy loam,4.48,Rabi,15.7,230.4,Urea,Medium,5,120,1.6,1568000,217.8
73,Quetta,30.1798,66.975,potato,sandy loam,45.6,Rabi,20.4,219.1,Urea,Ultra,50,1500,2.7,18240000,202.7
74,Islamabad,33.6844,73.0479,wheat,clay loam,40.8,Rabi,16.4,332.4,None,Ultra,50,1500,3.5,18360000,204.0
75,Rawalpindi,33.5651,73.0169,maize,sandy loam,40.47,Kharif,29.9,348.2,None,Ultra,50,1500,3.8,19425600,215.8
76,Jhang,31.2682,72.3184,rice,clay loam,30.34,Kharif,32.1,786.4,Urea,Mega,40,1200,4.7,20631200,286.5
77,Sheikhupura,31.7131,73.9783,maize,loam,1.97,Kharif,20.7,382.1,FYM,Small,3,60,3.2,945600,262.7
78,Kasur,31.1155,74.4466,rice,clay,18.06,Kharif,25.4,795.0,DAP,Extra Heavy,30,900,4.2,12280800,227.4
79,Sheikhupura,31.7131,73.9783,potato,sandy loam,13.31,Rabi,18.5,302.5,FYM,Heavy,20,600,2.5,5324000,147.9
80,Gujranwala,32.1877,74.1945,maize,loam,31.01,Kharif,22.1,390.1,FYM,Mega,40,1200,3.2,14884800,206.7
81,Rawalpindi,33.5651,73.0169,gram,sandy loam,47.66,Rabi,16.4,141.2,DAP,Ultra,50,1500,2.3,16681000,185.3
82,Quetta,30.1798,66.975,potato,sandy loam,45.39,Rabi,22.3,241.8,None,Ultra,50,1500,2.2,18156000,201.7
83,Lahore,31.5204,74.3587,cotton,loam,17.38,Kharif,27.8,256.1,None,Extra Heavy,30,900,1.8,9037600,167.4
84,Jhang,31.2682,72.3184,potato,loam,20.14,Rabi,17.8,332.5,DAP,Extra Heavy,30,900,2.2,8056000,149.2
85,Sialkot,32.4922,74.5311,cotton,sandy loam,5.25,Kharif,32.2,255.2,None,Upper Medium,7,200,3.0,2730000,227.5
86,Okara,30.8103,73.4513,gram,sandy loam,20.32,Rabi,19.9,130.1,DAP,Extra Heavy,30,900,2.4,7112000,131.7
87,Kasur,31.1155,74.4466,gram,sandy loam,16.03,Rabi,17.9,192.5,DAP,Extra Heavy,30,900,1.9,5610500,103.9
88,Lahore,31.5204,74.3587,rice,clay,15.37,Kharif,29.1,691.4,Urea,Extra Heavy,30,900,3.7,10451600,193.5
89,Sheikhupura,31.7131,73.9783,gram,sandy loam,45.37,Rabi,21.5,231.5,Urea,Ultra,50,1500,2.3,15879500,176.4
90,Jhang,31.2682,72.3184,gram,sandy loam,45.85,Rabi,23.0,197.5,NPK,Ultra,50,1500,2.3,16047500,178.3
91,Rahim Yar Khan,28.4209,70.2952,gram,loamy sand,37.9,Rabi,24.2,102.6,DAP,Mega,40,1200,1.5,13265000,184.2
92,Quetta,30.1798,66.975,maize,sandy loam,39.54,Kharif,23.7,260.5,DAP,Mega,40,1200,4.3,18979200,263.6
93,Quetta,30.1798,66.975,gram,sandy loam,29.93,Rabi,15.9,161.0,NPK,Mega,40,1200,1.6,10475500,145.5
94,Jhang,31.2682,72.3184,maize,sandy loam,10.27,Kharif,27.4,315.8,DAP,Heavy,20,600,4.1,4929600,136.9
95,Jhang,31.2682,72.3184,potato,sandy loam,19.01,Rabi,20.8,223.0,FYM,Extra Heavy,30,900,2.4,7604000,140.8
96,Rahim Yar Khan,28.4209,70.2952,potato,sandy loam,25.13,Rabi,20.8,314.2,None,Mega,40,1200,2.4,10052000,139.6
97,Sukkur,27.7132,68.8482,wheat,loam,15.63,Rabi,24.7,394.8,Urea,Extra Heavy,30,900,3.3,7033500,130.2
98,Okara,30.8103,73.4513,cotton,loam,38.7,Kharif,34.9,231.9,None,Mega,40,1200,2.5,20124000,279.5
99,Karachi,24.8607,67.0011,gram,sandy loam,12.97,Rabi,16.3,220.6,FYM,Heavy,20,600,2.0,4539500,126.1
100,Karachi,24.8607,67.0011,sugarcane,clay loam,6.82,Kharif,26.7,405.4,FYM,Upper Medium,7,200,59.1,5115000,426.2
101,Gujrat,32.5742,74.0754,gram,loamy sand,47.87,Rabi,20.8,227.7,FYM,Ultra,50,1500,2.2,16754500,186.2
102,Sheikhupura,31.7131,73.9783,gram,sandy loam,15.86,Rabi,23.0,209.1,Urea,Extra Heavy,30,900,1.6,5551000,102.8
103,Peshawar,34.0151,71.5249,rice,clay loam,14.18,Kharif,28.1,780.1,FYM,Heavy,20,600,4.5,9642400,267.8
104,Faisalabad,31.4504,73.135,cotton,loam,7.94,Kharif,32.4,327.4,None,Large,10,300,1.8,4128800,229.4
105,Gujranwala,32.1877,74.1945,maize,sandy loam,17.97,Kharif,26.1,497.7,None,Extra Heavy,30,900,4.3,8625600,159.7
106,Karachi,24.8607,67.0011,sugarcane,clay loam,33.93,Kharif,27.2,559.5,NPK,Mega,40,1200,66.3,25447500,353.4
107,Islamabad,33.6844,73.0479,rice,clay,42.8,Kharif,26.3,712.5,DAP,Ultra,50,1500,4.9,29104000,323.4
108,Multan,30.1575,71.5249,maize,sandy loam,26.88,Kharif,25.2,395.0,None,Mega,40,1200,3.0,12902400,179.2
109,Rahim Yar Khan,28.4209,70.2952,gram,loamy sand,31.82,Rabi,19.9,181.6,FYM,Mega,40,1200,1.9,11137000,154.7
110,Bahawalpur,29.3956,71.6836,maize,sandy loam,40.0,Kharif,29.3,299.8,None,Mega,40,1200,3.1,19200000,266.7
111,Okara,30.8103,73.4513,gram,loamy sand,33.93,Rabi,21.6,151.7,None,Mega,40,1200,2.1,11875500,164.9
112,Sialkot,32.4922,74.5311,potato,sandy loam,42.23,Rabi,17.9,238.4,DAP,Ultra,50,1500,3.5,16892000,187.7
113,Sukkur,27.7132,68.8482,maize,loam,3.58,Kharif,22.0,397.3,DAP,Medium,5,120,3.2,1718400,238.7
114,Kasur,31.1155,74.4466,maize,sandy loam,48.86,Kharif,25.9,274.6,DAP,Ultra,50,1500,3.6,23452800,260.6
115,Sargodha,32.0836,72.6711,maize,sandy loam,45.21,Kharif,26.9,325.4,None,Ultra,50,1500,3.7,21700800,241.1
116,Quetta,30.1798,66.975,maize,loam,20.96,Kharif,20.4,279.7,None,Extra Heavy,30,900,3.6,10060800,186.3
117,Faisalabad,31.4504,73.135,wheat,loam,11.32,Rabi,19.6,200.7,Urea,Heavy,20,600,4.3,5094000,141.5
118,Peshawar,34.0151,71.5249,cotton,loam,39.58,Kharif,31.3,178.1,None,Mega,40,1200,2.1,20581600,285.9
119,Gujranwala,32.1877,74.1945,gram,loamy sand,37.74,Rabi,23.9,117.2,NPK,Mega,40,1200,1.6,13209000,183.5
120,Faisalabad,31.4504,73.135,cotton,sandy loam,16.05,Kharif,25.6,214.3,NPK,Extra Heavy,30,900,2.5,8346000,154.6
121,Sialkot,32.4922,74.5311,gram,loamy sand,49.85,Rabi,19.3,230.1,None,Ultra,50,1500,1.9,17447500,193.9
122,Islamabad,33.6844,73.0479,rice,clay loam,28.78,Kharif,26.6,629.4,None,Mega,40,1200,3.7,19570400,271.8
123,Faisalabad,31.4504,73.135,potato,sandy loam,2.12,Rabi,16.8,345.4,NPK,Small,3,60,2.3,848000,235.6
124,Peshawar,34.0151,71.5249,rice,clay loam,16.77,Kharif,30.0,598.0,None,Extra Heavy,30,900,4.0,11403600,211.2
125,Karachi,24.8607,67.0011,potato,loam,1.93,Rabi,21.5,333.5,None,Small,3,60,3.4,772000,214.4
126,Sheikhupura,31.7131,73.9783,sugarcane,loam,48.53,Kharif,31.0,441.6,None,Ultra,50,1500,50.1,36397500,404.4
127,Quetta,30.1798,66.975,sugarcane,loam,0.81,Kharif,30.4,470.3,FYM,Very Small,2,40,56.8,607500,253.1
128,Quetta,30.1798,66.975,potato,sandy loam,40.61,Rabi,18.2,200.0,DAP,Ultra,50,1500,2.9,16244000,180.5
129,Sheikhupura,31.7131,73.9783,sugarcane,clay loam,38.59,Kharif,29.4,445.9,NPK,Mega,40,1200,54.8,28942500,402.0
130,Rahim Yar Khan,28.4209,70.2952,gram,sandy loam,2.22,Rabi,23.6,135.2,DAP,Small,3,60,2.2,777000,215.8
131,Karachi,24.8607,67.0011,sugarcane,clay loam,25.86,Kharif,32.3,415.6,Urea,Mega,40,1200,51.6,19395000,269.4
132,Sahiwal,30.6705,73.1063,cotton,loam,25.57,Kharif,28.6,233.0,FYM,Mega,40,1200,2.8,13296400,184.7
133,Islamabad,33.6844,73.0479,gram,sandy loam,13.84,Rabi,15.5,154.6,NPK,Heavy,20,600,1.9,4844000,134.6
134,Sargodha,32.0836,72.6711,sugarcane,clay loam,19.62,Kharif,34.9,598.5,DAP,Extra Heavy,30,900,59.0,14715000,272.5
135,Sahiwal,30.6705,73.1063,rice,clay loam,8.28,Kharif,32.8,705.0,None,Large,10,300,3.6,5630400,312.8
136,Rawalpindi,33.5651,73.0169,wheat,loam,40.14,Rabi,15.8,310.3,DAP,Ultra,50,1500,3.5,18063000,200.7
137,Quetta,30.1798,66.975,rice,clay loam,22.62,Kharif,28.7,658.5,NPK,Extra Heavy,30,900,3.8,15381600,284.8
138,Rawalpindi,33.5651,73.0169,rice,clay,22.88,Kharif,25.7,624.7,Urea,Extra Heavy,30,900,4.5,15558400,288.1
139,Gujrat,32.5742,74.0754,wheat,loam,44.08,Rabi,20.3,207.2,None,Ultra,50,1500,4.0,19836000,220.4
140,Islamabad,33.6844,73.0479,gram,loamy sand,41.99,Rabi,24.9,211.3,DAP,Ultra,50,1500,1.6,14696500,163.3
141,Islamabad,33.6844,73.0479,rice,clay,49.33,Kharif,31.0,520.8,DAP,Ultra,50,1500,4.0,33544400,372.7
142,Sargodha,32.0836,72.6711,cotton,loam,38.57,Kharif,30.9,312.5,NPK,Mega,40,1200,1.7,20056400,278.6
143,Bahawalpur,29.3956,71.6836,sugarcane,loam,16.25,Kharif,33.6,466.1,DAP,Extra Heavy,30,900,64.0,12187500,225.7
144,Rahim Yar Khan,28.4209,70.2952,maize,sandy loam,23.79,Kharif,26.0,252.6,FYM,Extra Heavy,30,900,3.4,11419200,211.5
145,Sheikhupura,31.7131,73.9783,rice,clay loam,3.16,Kharif,33.6,649.5,NPK,Medium,5,120,4.2,2148800,298.4
146,Sialkot,32.4922,74.5311,gram,sandy loam,4.71,Rabi,16.8,114.8,Urea,Medium,5,120,1.8,1648500,229.0
147,Sukkur,27.7132,68.8482,cotton,sandy loam,45.34,Kharif,33.9,348.8,DAP,Ultra,50,1500,2.9,23576800,262.0
148,Sargodha,32.0836,72.6711,sugarcane,loam,44.81,Kharif,25.6,532.4,None,Ultra,50,1500,55.3,33607500,373.4
149,Rahim Yar Khan,28.4209,70.2952,maize,loam,1.14,Kharif,21.3,379.5,FYM,Small,3,60,3.8,547200,152.0
150,Gujranwala,32.1877,74.1945,rice,clay loam,39.53,Kharif,29.6,545.0,Urea,Mega,40,1200,4.0,26880400,373.3
151,Multan,30.1575,71.5249,potato,loam,36.88,Rabi,15.5,221.5,NPK,Mega,40,1200,2.6,14752000,204.9
152,Sheikhupura,31.7131,73.9783,cotton,loam,3.51,Kharif,30.7,299.0,DAP,Medium,5,120,2.1,1825200,253.5
153,Jhang,31.2682,72.3184,sugarcane,loam,35.13,Kharif,30.9,421.5,None,Mega,40,1200,54.2,26347500,365.9
154,Jhang,31.2682,72.3184,rice,clay,32.65,Kharif,29.8,589.8,DAP,Mega,40,1200,4.1,22202000,308.4
155,Peshawar,34.0151,71.5249,cotton,loam,19.02,Kharif,34.6,240.3,NPK,Extra Heavy,30,900,2.9,9890400,183.2
156,Sialkot,32.4922,74.5311,wheat,loam,12.74,Rabi,23.2,291.4,None,Heavy,20,600,3.1,5733000,159.2
157,Quetta,30.1798,66.975,gram,loamy sand,32.2,Rabi,21.8,136.3,DAP,Mega,40,1200,2.5,11270000,156.5
158,Sargodha,32.0836,72.6711,cotton,sandy loam,40.2,Kharif,31.3,280.7,None,Ultra,50,1500,1.5,20904000,232.3
159,Karachi,24.8607,67.0011,maize,sandy loam,47.57,Kharif,28.3,358.7,Urea,Ultra,50,1500,3.4,22833600,253.7
160,Quetta,30.1798,66.975,gram,loamy sand,33.2,Rabi,19.1,103.4,FYM,Mega,40,1200,1.6,11620000,161.4
161,Sheikhupura,31.7131,73.9783,wheat,loam,38.18,Rabi,17.7,305.4,FYM,Mega,40,1200,4.4,17181000,238.6
162,Jhang,31.2682,72.3184,cotton,sandy loam,4.15,Kharif,27.7,191.9,Urea,Medium,5,120,2.5,2158000,299.7
163,Rawalpindi,33.5651,73.0169,maize,sandy loam,26.85,Kharif,24.0,317.1,DAP,Mega,40,1200,3.6,12888000,179.0
164,Kasur,31.1155,74.4466,wheat,clay loam,18.48,Rabi,20.7,292.7,DAP,Extra Heavy,30,900,3.9,8316000,154.0
165,Okara,30.8103,73.4513,potato,sandy loam,9.54,Rabi,21.1,344.1,None,Large,10,300,2.9,3816000,212.0
166,Sialkot,32.4922,74.5311,gram,loamy sand,4.46,Rabi,15.9,125.7,FYM,Medium,5,120,2.0,1561000,216.8
167,Multan,30.1575,71.5249,rice,clay loam,17.07,Kharif,29.1,756.4,DAP,Extra Heavy,30,900,3.7,11607600,215.0
168,Peshawar,34.0151,71.5249,potato,sandy loam,23.85,Rabi,18.1,316.7,None,Extra Heavy,30,900,3.2,9540000,176.7
169,Rawalpindi,33.5651,73.0169,wheat,silty loam,4.23,Rabi,20.6,270.3,Urea,Medium,5,120,3.9,1903500,264.4
170,Sheikhupura,31.7131,73.9783,rice,clay loam,17.04,Kharif,28.4,553.2,None,Extra Heavy,30,900,4.8,11587200,214.6
171,Lahore,31.5204,74.3587,sugarcane,loam,33.84,Kharif,27.6,598.9,Urea,Mega,40,1200,64.4,25380000,352.5
172,Rawalpindi,33.5651,73.0169,maize,loam,0.59,Kharif,29.3,361.3,DAP,Very Small,2,40,4.5,283200,118.0
173,Karachi,24.8607,67.0011,rice,clay loam,17.57,Kharif,32.9,502.7,DAP,Extra Heavy,30,900,4.7,11947600,221.3
174,Quetta,30.1798,66.975,gram,sandy loam,34.59,Rabi,20.2,145.3,NPK,Mega,40,1200,1.8,12106500,168.1
175,Gujrat,32.5742,74.0754,sugarcane,loam,44.21,Kharif,29.1,553.0,None,Ultra,50,1500,56.6,33157500,368.4
176,Sukkur,27.7132,68.8482,sugarcane,clay loam,11.14,Kharif,32.5,494.1,NPK,Heavy,20,600,53.0,8355000,232.1
177,Bahawalpur,29.3956,71.6836,rice,clay loam,17.06,Kharif,28.4,516.5,None,Extra Heavy,30,900,3.9,11600800,214.8
178,Sheikhupura,31.7131,73.9783,wheat,clay loam,5.8,Rabi,23.3,238.5,Urea,Upper Medium,7,200,3.4,2610000,217.5
179,Sukkur,27.7132,68.8482,rice,clay loam,32.79,Kharif,33.1,569.4,FYM,Mega,40,1200,4.7,22297200,309.7
180,Sialkot,32.4922,74.5311,potato,sandy loam,24.82,Rabi,20.6,262.8,FYM,Extra Heavy,30,900,2.5,9928000,183.9
181,Sahiwal,30.6705,73.1063,potato,loam,32.06,Rabi,24.6,287.4,NPK,Mega,40,1200,3.2,12824000,178.1
182,Sargodha,32.0836,72.6711,gram,loamy sand,49.01,Rabi,23.5,226.9,Urea,Ultra,50,1500,2.5,17153500,190.6
183,Gujrat,32.5742,74.0754,gram,sandy loam,41.9,Rabi,18.1,166.4,NPK,Ultra,50,1500,1.9,14665000,162.9
184,Kasur,31.1155,74.4466,rice,clay,18.47,Kharif,30.3,732.4,FYM,Extra Heavy,30,900,4.9,12559600,232.6
185,Karachi,24.8607,67.0011,sugarcane,loam,37.78,Kharif,26.9,556.6,None,Mega,40,1200,56.9,28335000,393.5
186,Kasur,31.1155,74.4466,sugarcane,clay loam,32.57,Kharif,28.1,570.0,NPK,Mega,40,1200,66.3,24427500,339.3
187,Jhang,31.2682,72.3184,cotton,sandy loam,29.09,Kharif,28.3,242.4,None,Mega,40,1200,2.5,15126800,210.1
188,Rahim Yar Khan,28.4209,70.2952,potato,sandy loam,38.38,Rabi,18.9,287.0,NPK,Mega,40,1200,2.8,15352000,213.2
189,Sheikhupura,31.7131,73.9783,cotton,sandy loam,39.52,Kharif,34.1,161.0,FYM,Mega,40,1200,1.8,20550400,285.4
190,Jhang,31.2682,72.3184,sugarcane,loam,19.72,Kharif,27.2,482.4,None,Extra Heavy,30,900,65.8,14790000,273.9
191,Quetta,30.1798,66.975,cotton,sandy loam,28.73,Kharif,32.3,234.7,NPK,Mega,40,1200,1.8,14939600,207.5
192,Sukkur,27.7132,68.8482,rice,clay loam,33.08,Kharif,25.2,735.5,None,Mega,40,1200,3.6,22494400,312.4
193,Kasur,31.1155,74.4466,gram,sandy loam,6.46,Rabi,21.0,131.3,NPK,Upper Medium,7,200,2.3,2261000,188.4
194,Jhang,31.2682,72.3184,wheat,loam,11.35,Rabi,24.7,237.8,None,Heavy,20,600,3.5,5107500,141.9
195,Sahiwal,30.6705,73.1063,maize,loam,31.77,Kharif,27.1,457.3,None,Mega,40,1200,3.3,15249600,211.8
196,Islamabad,33.6844,73.0479,potato,loam,30.53,Rabi,16.7,245.7,NPK,Mega,40,1200,2.9,12212000,169.6
197,Lahore,31.5204,74.3587,potato,sandy loam,42.7,Rabi,24.6,297.7,FYM,Ultra,50,1500,2.5,17080000,189.8
198,Peshawar,34.0151,71.5249,cotton,loam,35.8,Kharif,25.4,349.7,None,Mega,40,1200,2.0,18616000,258.6
199,Sargodha,32.0836,72.6711,rice,clay,36.12,Kharif,31.9,521.4,NPK,Mega,40,1200,4.0,24561600,341.1
200,Jhang,31.2682,72.3184,gram,loamy sand,33.82,Rabi,15.1,138.7,Urea,Mega,40,1200,2.5,11837000,164.4
