id,district,latitude,longitude,crop_type,soil_type,field_area_ha,season,avg_temp_c,total_rainfall_mm,soil_water_retention_mm,fertilizer_type,fertilizer_amount_kg_ha,yield_ton_per_ha,water_requirement_liters_day
18,Haripur,33.9962,72.9338,tobacco,loam,9.29,Kharif,27.6,273.4,196,NPK,180,2.2,123492
19,Hyderabad,25.396,68.3578,potato,sandy loam,8.39,Rabi,22.1,230.9,113,FYM,341,3.0,113500
20,Chiniot,31.716,72.9814,apple orchard,rocky loam,5.42,Perennial,11.8,577.9,127,None,0,8.7,55609
21,Khuzdar,27.8,66.6167,tobacco,silty loam,9.99,Kharif,29.8,346.7,165,Urea,150,2.2,138461
22,Turbat,26.0012,63.0515,date palm,desert sand,3.09,Perennial,32.3,97.0,71,Urea,137,9.1,35110
23,Peshawar,34.0151,71.5249,wheat,silty loam,2.77,Rabi,22.7,265.5,198,None,0,4.4,46105
24,Mingora,35.0266,72.276,maize,loam,4.6,Kharif,27.9,279.4,174,FYM,216,3.6,66571
25,Gujrat,32.5742,74.0754,wheat,loam,5.89,Rabi,19.1,332.9,187,Urea,184,4.0,79515
26,Haripur,33.9962,72.9338,tobacco,loam,1.52,Kharif,25.4,343.5,194,NPK,166,1.9,19152
27,Thatta,24.747,67.9192,sugarcane,loam,1.71,Kharif,33.0,596.5,190,FYM,341,67.2,38475
28,Islamabad,33.6844,73.0479,sugarcane,loam,8.9,Kharif,30.4,580.5,172,None,0,52.7,200250
29,Mirpur,33.1497,73.7515,rice,clay loam,7.51,Kharif,30.0,587.4,226,Urea,153,3.5,183845
30,Nawabshah,26.2483,68.4035,sugarcane,loam,5.76,Kharif,33.2,457.8,193,Urea,183,51.4,129600
31,Khuzdar,27.8,66.6167,apple orchard,loam,4.72,Perennial,10.7,345.9,186,NPK,166,9.1,53808
32,Zhob,31.3487,69.4484,sugarcane,loam,2.18,Kharif,33.6,575.6,163,NPK,202,67.2,49050
33,Gujrat,32.5742,74.0754,sugarcane,loam,5.07,Kharif,32.5,597.4,197,DAP,122,65.5,114075
34,Abbottabad,34.1463,73.2117,cotton,sandy loam,9.38,Kharif,32.5,318.7,101,Urea,190,2.6,117062
35,Quetta,30.1798,66.975,sugarcane,loam,7.47,Kharif,32.0,505.5,160,DAP,139,69.6,168075
36,Mardan,34.1983,72.0452,tobacco,loam,6.59,Kharif,22.9,274.9,158,DAP,159,1.6,86563
37,Charsadda,34.1453,71.7436,date palm,sandy,6.95,Perennial,31.4,65.5,86,Urea,109,9.9,122051
38,Jhelum,32.9416,73.7251,cotton,sandy loam,9.55,Kharif,31.1,267.9,129,NPK,165,2.4,131202
39,Bannu,32.9886,70.6055,apple orchard,rocky loam,2.69,Perennial,18.5,561.2,126,None,0,8.1,27599
40,Khuzdar,27.8,66.6167,sugarcane,loam,3.98,Kharif,29.5,453.1,162,FYM,290,64.4,89550
41,Swabi,34.1202,72.4697,cotton,sandy loam,1.43,Kharif,34.5,200.0,122,DAP,141,1.7,29744
42,Mirpur,33.1497,73.7515,gram,sandy loam,1.48,Rabi,20.8,115.2,105,Urea,183,2.4,29505
43,Dera Ismail Khan,31.8322,70.9024,date palm,sandy,6.6,Perennial,34.6,143.6,81,FYM,285,9.2,88843
44,Bannu,32.9886,70.6055,sugarcane,clay loam,6.54,Kharif,29.7,434.7,180,DAP,135,69.0,176580
45,Kotli,33.5186,73.9022,potato,sandy loam,5.37,Rabi,24.3,288.2,122,Urea,136,2.3,51552
46,Rahim Yar Khan,28.4209,70.2952,rice,clay,6.87,Kharif,30.6,525.1,216,DAP,175,5.0,182192
47,Hafizabad,32.0709,73.688,tobacco,silty loam,4.5,Kharif,22.7,323.8,215,DAP,126,1.7,62370
48,Bahawalpur,29.3956,71.6836,date palm,sandy,8.36,Perennial,29.7,68.8,63,Urea,154,10.7,145364
49,Lahore,31.5204,74.3587,apple orchard,rocky loam,6.22,Perennial,10.3,491.7,153,NPK,204,7.4,63817
50,Haripur,33.9962,72.9338,sugarcane,clay loam,6.72,Kharif,34.5,485.5,239,DAP,150,57.6,181440
51,Baghsar,33.8667,74.7667,cotton,loam,4.47,Kharif,30.2,323.2,169,DAP,135,1.7,69732
52,Dera Ismail Khan,31.8322,70.9024,date palm,desert sand,4.51,Perennial,26.8,103.9,62,Urea,109,10.5,50078
53,Thatta,24.747,67.9192,potato,sandy loam,3.32,Rabi,24.4,204.4,129,NPK,184,3.5,51951
54,Bhimber,32.979,74.0792,gram,sandy loam,1.36,Rabi,22.0,119.0,125,FYM,257,2.0,26751
55,Bannu,32.9886,70.6055,tobacco,silty loam,2.63,Kharif,28.0,328.9,193,None,0,2.4,36452
56,Turbat,26.0012,63.0515,potato,sandy loam,1.99,Rabi,24.0,288.1,110,FYM,228,3.4,19104
57,Gwadar,25.1263,62.3225,tobacco,loam,9.23,Kharif,26.5,349.1,152,DAP,120,2.0,116298
58,Lahore,31.5204,74.3587,maize,sandy loam,2.52,Kharif,20.6,472.8,122,NPK,196,3.7,29030
59,Rahim Yar Khan,28.4209,70.2952,rice,clay,6.65,Kharif,29.0,687.7,289,None,0,4.6,176358
60,Hafizabad,32.0709,73.688,wheat,clay loam,7.13,Rabi,17.8,329.6,239,FYM,304,4.5,115506
61,Dera Ismail Khan,31.8322,70.9024,gram,sandy loam,6.49,Rabi,23.0,210.0,100,DAP,125,2.4,86317
62,Peshawar,34.0151,71.5249,date palm,desert sand,1.88,Perennial,38.4,55.8,78,Urea,178,9.9,24266
63,Gujrat,32.5742,74.0754,potato,loam,9.05,Rabi,24.0,206.0,188,DAP,177,3.5,175570
64,Faisalabad,31.4504,73.135,cotton,sandy loam,8.02,Kharif,34.5,329.4,150,DAP,133,3.0,100090
65,Kotli,33.5186,73.9022,sugarcane,clay loam,3.17,Kharif,34.1,544.7,247,DAP,133,56.3,85590
66,Kohat,33.5861,71.4414,apple orchard,rocky loam,0.58,Perennial,11.6,300.3,124,FYM,202,9.0,5951
67,Mirpur Khas,25.5255,69.0159,rice,clay,2.58,Kharif,29.0,683.7,262,NPK,178,4.2,68422
68,Gujrat,32.5742,74.0754,gram,sandy loam,4.14,Rabi,20.8,218.3,131,DAP,148,1.9,52657
69,Swat,35.2217,72.4252,rice,clay loam,3.9,Kharif,30.2,534.8,194,FYM,312,4.5,95472
70,Kohat,33.5861,71.4414,apple orchard,rocky loam,2.35,Perennial,18.9,583.1,150,Urea,123,7.6,24111
71,Burewala,30.15,72.65,apple orchard,rocky loam,9.24,Perennial,18.3,455.0,128,DAP,135,8.0,94802
72,Chitral,35.8512,71.7864,maize,sandy loam,2.35,Kharif,20.5,352.9,124,None,0,3.7,27072
73,Faisalabad,31.4504,73.135,potato,sandy loam,5.57,Rabi,23.2,234.4,150,DAP,171,3.4,73791
74,Sialkot,32.4922,74.5311,sugarcane,loam,5.17,Kharif,27.6,587.0,153,None,0,56.3,116325
75,Attock,33.7731,72.3744,date palm,desert sand,7.64,Perennial,38.6,139.5,65,DAP,176,9.0,74633
76,Sheikhupura,31.7131,73.9783,gram,sandy loam,8.99,Rabi,16.7,137.5,146,NPK,180,2.2,165191
77,Sargodha,32.0836,72.6711,sugarcane,clay loam,7.83,Kharif,33.1,568.5,237,None,0,51.7,211410
78,Kotli,33.5186,73.9022,potato,loam,1.51,Rabi,24.8,268.7,180,NPK,217,2.7,19826
79,Abbottabad,34.1463,73.2117,sugarcane,clay loam,7.3,Kharif,29.9,596.3,198,FYM,280,64.0,197100
80,Attock,33.7731,72.3744,apple orchard,loam,4.59,Perennial,12.6,483.0,158,NPK,160,7.5,52326
81,Jhang,31.2682,72.3184,cotton,sandy loam,8.08,Kharif,34.5,247.5,111,Urea,116,1.9,128149
82,Zhob,31.3487,69.4484,tobacco,loam,4.49,Kharif,22.9,393.9,198,DAP,180,1.9,56574
83,Lodhran,29.5383,71.6315,tobacco,silty loam,1.95,Kharif,26.7,376.4,200,DAP,144,1.7,27027
84,Islamabad,33.6844,73.0479,gram,sandy loam,7.03,Rabi,18.6,101.7,124,FYM,218,2.4,146793
85,Bannu,32.9886,70.6055,wheat,clay loam,6.54,Rabi,16.0,284.9,193,Urea,195,4.0,105948
86,Sahiwal,30.6705,73.1063,apple orchard,rocky loam,4.0,Perennial,19.6,544.8,127,Urea,184,9.8,41040
87,Sargodha,32.0836,72.6711,wheat,silty loam,2.72,Rabi,15.6,343.8,186,NPK,201,3.6,40392
88,Sahiwal,30.6705,73.1063,potato,sandy loam,4.37,Rabi,22.7,233.3,140,Urea,133,3.2,58278
89,Islamabad,33.6844,73.0479,cotton,loam,4.62,Kharif,25.9,287.6,161,FYM,290,2.1,72072
90,Rahim Yar Khan,28.4209,70.2952,maize,loam,7.42,Kharif,30.0,334.6,166,FYM,289,3.4,106848
91,Swat,35.2217,72.4252,wheat,silty loam,3.22,Rabi,24.1,374.2,163,FYM,278,4.2,47817
92,Bannu,32.9886,70.6055,maize,sandy loam,7.25,Kharif,27.7,438.5,146,None,0,3.2,83520
93,Bannu,32.9886,70.6055,apple orchard,loam,5.44,Perennial,17.2,426.6,172,Urea,187,7.6,62016
94,Lahore,31.5204,74.3587,rice,clay loam,3.07,Kharif,31.1,611.9,195,NPK,196,3.5,75154
95,Thatta,24.747,67.9192,sugarcane,loam,7.02,Kharif,32.5,511.8,194,NPK,183,52.2,157950
96,Nawabshah,26.2483,68.4035,potato,sandy loam,1.12,Rabi,24.7,248.5,142,DAP,164,3.4,13574
97,Thatta,24.747,67.9192,maize,sandy loam,9.92,Kharif,27.9,482.8,105,None,0,3.6,114278
98,Islamabad,33.6844,73.0479,sugarcane,loam,6.8,Kharif,29.7,499.9,150,DAP,131,68.5,153000
99,Hafizabad,32.0709,73.688,potato,sandy loam,3.1,Rabi,24.7,211.0,135,Urea,120,2.9,46872
100,Mianwali,32.5833,71.5375,cotton,sandy loam,2.2,Kharif,29.8,169.4,115,None,0,2.9,52761
101,Sargodha,32.0836,72.6711,sugarcane,loam,2.89,Kharif,32.0,564.1,169,None,0,69.0,65025
102,Islamabad,33.6844,73.0479,tobacco,silty loam,8.84,Kharif,20.5,342.5,177,None,0,2.3,122522
103,Karachi,24.8607,67.0011,sugarcane,clay loam,3.38,Kharif,30.9,564.9,187,NPK,169,63.8,91260
104,Charsadda,34.1453,71.7436,rice,clay loam,5.09,Kharif,27.8,608.1,232,DAP,147,4.0,124603
105,Bahawalpur,29.3956,71.6836,sugarcane,clay loam,8.54,Kharif,27.4,580.4,241,DAP,156,53.3,230580
106,Peshawar,34.0151,71.5249,maize,sandy loam,7.88,Kharif,20.5,465.2,116,DAP,121,3.5,90778
107,Larkana,27.5609,68.2066,date palm,desert sand,4.0,Perennial,35.5,59.6,60,DAP,125,11.9,51060
108,Lasbela,25.8694,66.7097,wheat,clay loam,8.03,Rabi,19.5,385.6,248,DAP,124,4.2,130086
109,Mansehra,34.3332,73.1992,tobacco,silty loam,0.84,Kharif,21.8,323.8,160,Urea,168,1.6,11642
110,Mianwali,32.5833,71.5375,wheat,silty loam,7.26,Rabi,24.1,239.7,197,NPK,197,4.4,144018
111,Swat,35.2217,72.4252,gram,loamy sand,5.91,Rabi,22.9,212.9,96,NPK,206,1.9,72566
112,Karachi,24.8607,67.0011,cotton,sandy loam,5.05,Kharif,28.9,314.0,104,Urea,153,2.0,63024
113,Okara,30.8103,73.4513,apple orchard,loam,2.29,Perennial,18.2,509.1,174,Urea,154,8.5,26106
114,Charsadda,34.1453,71.7436,wheat,silty loam,4.03,Rabi,19.8,223.0,213,FYM,204,3.5,88272
115,Multan,30.1575,71.5249,apple orchard,rocky loam,6.71,Perennial,16.0,541.8,133,None,0,9.7,68845
116,Jhang,31.2682,72.3184,sugarcane,clay loam,5.91,Kharif,33.4,473.3,194,DAP,154,66.5,159570
117,Multan,30.1575,71.5249,wheat,clay loam,8.54,Rabi,24.4,262.7,231,NPK,192,3.9,158293
118,Jhang,31.2682,72.3184,gram,loamy sand,1.74,Rabi,22.6,201.9,104,Urea,125,2.5,22621
119,Lahore,31.5204,74.3587,date palm,sandy,3.29,Perennial,28.5,86.8,91,None,0,10.8,54097
120,Bahawalpur,29.3956,71.6836,wheat,clay loam,2.38,Rabi,22.8,324.2,198,FYM,271,4.4,38556
121,Quetta,30.1798,66.975,cotton,loam,7.64,Kharif,34.7,266.5,172,FYM,210,2.4,132592
122,Swat,35.2217,72.4252,apple orchard,rocky loam,0.6,Perennial,14.6,508.9,162,None,0,9.5,6156
123,Mirpur,33.1497,73.7515,cotton,loam,6.78,Kharif,29.5,311.9,154,DAP,128,2.4,105768
124,Charsadda,34.1453,71.7436,wheat,clay loam,6.14,Rabi,23.4,221.5,231,FYM,303,3.7,147959
125,Gujranwala,32.1877,74.1945,date palm,desert sand,6.35,Perennial,34.2,123.8,41,Urea,141,10.3,65770
126,Dera Ismail Khan,31.8322,70.9024,date palm,sandy,9.48,Perennial,25.2,112.0,70,Urea,145,10.4,143338
127,Nawabshah,26.2483,68.4035,gram,loamy sand,8.88,Rabi,22.3,185.8,82,DAP,159,1.8,124825
128,Kasur,31.1155,74.4466,wheat,clay loam,5.32,Rabi,17.3,261.7,184,NPK,217,3.5,99327
129,Zhob,31.3487,69.4484,apple orchard,rocky loam,8.51,Perennial,15.7,348.2,164,Urea,163,9.1,87313
130,Jhang,31.2682,72.3184,sugarcane,loam,6.94,Kharif,25.8,577.0,177,Urea,184,67.6,156150
131,Lodhran,29.5383,71.6315,maize,loam,9.72,Kharif,27.0,445.4,174,DAP,126,4.3,139968
132,Chitral,35.8512,71.7864,potato,sandy loam,4.73,Rabi,16.2,266.4,107,NPK,212,2.5,50554
133,Thatta,24.747,67.9192,maize,loam,2.19,Kharif,27.2,342.9,169,Urea,128,3.6,31536
134,Mardan,34.1983,72.0452,cotton,sandy loam,8.73,Kharif,30.0,299.1,136,FYM,277,1.8,108950
135,Mianwali,32.5833,71.5375,tobacco,loam,8.81,Kharif,26.3,372.9,176,None,0,1.8,111006
136,Baghsar,33.8667,74.7667,gram,sandy loam,1.06,Rabi,16.6,141.1,115,DAP,170,2.3,19210
137,Sukkur,27.7132,68.8482,wheat,clay loam,5.22,Rabi,19.2,394.3,222,None,0,4.4,84564
138,Zhob,31.3487,69.4484,date palm,desert sand,6.8,Perennial,25.4,111.2,41,Urea,144,11.8,73644
139,Sukkur,27.7132,68.8482,rice,clay,6.05,Kharif,34.5,614.3,204,NPK,202,4.7,160446
140,Charsadda,34.1453,71.7436,cotton,loam,2.84,Kharif,34.0,177.4,171,None,0,2.7,82184
141,Kohat,33.5861,71.4414,gram,sandy loam,1.07,Rabi,16.5,117.2,141,None,0,2.2,21182
142,Karachi,24.8607,67.0011,cotton,loam,5.15,Kharif,29.7,246.0,194,NPK,172,2.9,103103
143,Rahim Yar Khan,28.4209,70.2952,date palm,sandy,7.42,Perennial,39.9,67.0,100,Urea,147,11.5,129720
144,Gujrat,32.5742,74.0754,apple orchard,rocky loam,7.7,Perennial,12.5,439.1,132,NPK,188,7.2,79002
145,Lasbela,25.8694,66.7097,apple orchard,loam,2.14,Perennial,11.9,458.0,162,NPK,219,10.0,24396
146,Turbat,26.0012,63.0515,tobacco,loam,7.85,Kharif,23.4,380.5,174,None,0,2.1,98910
147,Kotli,33.5186,73.9022,potato,sandy loam,4.52,Rabi,19.1,204.2,121,Urea,105,2.9,70801
148,Gwadar,25.1263,62.3225,wheat,loam,2.97,Rabi,19.5,249.7,199,Urea,117,3.6,50219
149,Sukkur,27.7132,68.8482,rice,clay loam,3.59,Kharif,26.8,704.0,182,NPK,184,4.6,87883
150,Burewala,30.15,72.65,apple orchard,rocky loam,7.02,Perennial,15.7,307.7,125,Urea,157,9.0,72025
151,Rahim Yar Khan,28.4209,70.2952,wheat,loam,8.69,Rabi,19.4,301.8,199,FYM,249,3.2,117315
152,Larkana,27.5609,68.2066,sugarcane,clay loam,9.47,Kharif,27.0,599.6,240,FYM,253,68.5,255690
153,Gujranwala,32.1877,74.1945,potato,loam,5.62,Rabi,22.6,285.4,166,DAP,171,3.2,67440
154,Mirpur,33.1497,73.7515,sugarcane,loam,5.62,Kharif,33.2,452.5,189,FYM,291,68.5,126450
155,Nawabshah,26.2483,68.4035,wheat,clay loam,1.16,Rabi,20.1,203.4,237,NPK,166,3.2,30788
156,Kasur,31.1155,74.4466,potato,sandy loam,8.47,Rabi,20.7,246.5,109,DAP,179,2.1,104012
157,Gujranwala,32.1877,74.1945,cotton,loam,6.78,Kharif,34.3,183.9,158,Urea,113,2.0,190471
158,Haripur,33.9962,72.9338,potato,loam,4.55,Rabi,22.9,240.1,189,DAP,156,3.1,72754
159,Chitral,35.8512,71.7864,wheat,silty loam,8.08,Rabi,24.5,300.5,184,NPK,195,3.7,119988
160,Bannu,32.9886,70.6055,maize,sandy loam,5.08,Kharif,24.7,467.6,132,FYM,201,3.9,58522
161,Baghsar,33.8667,74.7667,cotton,loam,1.76,Kharif,34.4,301.7,167,None,0,2.0,27456
162,Bhimber,32.979,74.0792,potato,loam,0.9,Rabi,18.4,326.9,189,NPK,181,2.3,10800
163,Sukkur,27.7132,68.8482,sugarcane,clay loam,6.32,Kharif,30.9,556.8,244,DAP,176,64.3,170640
164,Haripur,33.9962,72.9338,tobacco,silty loam,6.86,Kharif,29.4,398.3,205,DAP,144,2.1,95080
165,Mardan,34.1983,72.0452,gram,loamy sand,1.22,Rabi,15.8,135.9,113,DAP,163,2.3,21145
166,Multan,30.1575,71.5249,sugarcane,loam,5.01,Kharif,32.5,543.0,199,Urea,101,60.6,112725
167,Sheikhupura,31.7131,73.9783,potato,loam,9.05,Rabi,16.6,256.0,182,DAP,127,2.3,130320
168,Jhelum,32.9416,73.7251,potato,loam,2.55,Rabi,16.4,209.1,190,FYM,266,2.5,48680
169,Khanewal,30.3016,71.9351,sugarcane,loam,9.19,Kharif,34.6,513.2,159,None,0,54.7,206775
170,Chitral,35.8512,71.7864,rice,clay,8.86,Kharif,34.2,717.3,252,FYM,277,4.9,234967
171,Charsadda,34.1453,71.7436,apple orchard,loam,9.86,Perennial,14.4,314.6,193,NPK,161,8.6,112404
172,Abbottabad,34.1463,73.2117,gram,sandy loam,4.63,Rabi,20.0,226.6,126,Urea,175,1.8,56199
173,Bhimber,32.979,74.0792,maize,sandy loam,2.95,Kharif,26.7,488.0,103,FYM,286,4.3,33984
174,Muzaffarabad,34.3702,73.4711,maize,sandy loam,10.0,Kharif,24.3,469.3,113,NPK,212,3.0,115200
175,Charsadda,34.1453,71.7436,date palm,sandy,8.72,Perennial,28.3,113.9,89,Urea,197,9.3,130977
176,Muzaffarabad,34.3702,73.4711,date palm,sandy,8.52,Perennial,37.7,118.0,58,DAP,144,11.6,126139
177,Thatta,24.747,67.9192,wheat,loam,1.26,Rabi,16.0,245.1,179,None,0,3.8,21957
178,Mansehra,34.3332,73.1992,rice,clay loam,6.53,Kharif,31.8,583.2,201,FYM,344,4.7,159854
179,Mianwali,32.5833,71.5375,date palm,desert sand,4.48,Perennial,31.5,87.4,65,FYM,349,11.7,52517
180,Multan,30.1575,71.5249,sugarcane,clay loam,5.29,Kharif,34.2,494.0,217,Urea,179,66.9,142830
181,Quetta,30.1798,66.975,maize,loam,2.72,Kharif,27.2,496.7,162,FYM,294,3.1,39168
182,Karachi,24.8607,67.0011,date palm,sandy,5.57,Perennial,33.3,104.1,62,FYM,336,12.0,86529
183,Gujrat,32.5742,74.0754,date palm,desert sand,4.24,Perennial,33.5,149.8,43,FYM,350,10.9,39782
184,Burewala,30.15,72.65,date palm,sandy,9.99,Perennial,39.1,125.4,52,None,0,10.8,144021
185,Hafizabad,32.0709,73.688,potato,loam,0.75,Rabi,18.1,216.8,171,None,0,3.2,13740
186,Swat,35.2217,72.4252,sugarcane,clay loam,3.41,Kharif,27.5,442.7,232,NPK,159,57.9,92070
187,Mirpur,33.1497,73.7515,sugarcane,clay loam,0.7,Kharif,26.9,474.9,235,NPK,203,63.8,18900
188,Rahim Yar Khan,28.4209,70.2952,potato,sandy loam,3.55,Rabi,21.2,287.3,116,None,0,2.7,34080
189,Multan,30.1575,71.5249,wheat,silty loam,4.06,Rabi,18.7,284.4,196,Urea,148,3.2,60291
190,Mansehra,34.3332,73.1992,sugarcane,clay loam,6.84,Kharif,27.4,541.7,224,DAP,148,69.6,184680
191,Hafizabad,32.0709,73.688,maize,loam,5.32,Kharif,21.9,466.6,158,FYM,289,3.8,76608
192,Rawalpindi,33.5651,73.0169,apple orchard,loam,0.59,Perennial,18.1,456.9,185,NPK,182,9.3,6726
193,Khuzdar,27.8,66.6167,apple orchard,rocky loam,2.72,Perennial,11.5,496.3,129,Urea,123,8.0,27907
194,Faisalabad,31.4504,73.135,tobacco,silty loam,3.13,Kharif,23.2,304.5,164,Urea,163,1.8,43382
195,Sialkot,32.4922,74.5311,apple orchard,loam,2.07,Perennial,17.9,496.4,200,FYM,245,7.5,23598
196,Gujranwala,32.1877,74.1945,wheat,clay loam,8.38,Rabi,21.8,247.2,204,NPK,159,3.0,172863
197,Mardan,34.1983,72.0452,apple orchard,rocky loam,0.99,Perennial,15.7,472.7,180,DAP,169,8.6,10157
198,Bhimber,32.979,74.0792,rice,clay,9.02,Kharif,26.6,788.8,268,NPK,201,4.6,239210
199,Hyderabad,25.396,68.3578,maize,loam,1.44,Kharif,27.5,361.4,190,DAP,135,4.5,20736
200,Khanewal,30.3016,71.9351,rice,clay,4.63,Kharif,34.4,602.9,257,NPK,203,4.0,122788
201,Sialkot,32.4922,74.5311,tobacco,loam,5.64,Kharif,21.1,284.0,175,None,0,2.0,71064
202,Karachi,24.8607,67.0011,rice,clay,3.17,Kharif,25.5,631.6,296,Urea,104,4.0,84068
203,Gujrat,32.5742,74.0754,apple orchard,rocky loam,2.63,Perennial,18.4,410.7,158,FYM,315,7.7,26984
204,Islamabad,33.6844,73.0479,gram,loamy sand,8.12,Rabi,16.5,133.6,107,DAP,125,1.5,141958
205,Multan,30.1575,71.5249,apple orchard,loam,9.62,Perennial,15.1,573.9,162,FYM,282,7.1,109668
206,Mirpur,33.1497,73.7515,wheat,silty loam,0.93,Rabi,24.5,269.7,207,NPK,195,4.0,14996
207,Kotli,33.5186,73.9022,gram,sandy loam,3.95,Rabi,21.9,164.9,119,None,0,1.6,65005
208,Mingora,35.0266,72.276,apple orchard,loam,8.4,Perennial,14.3,322.0,154,NPK,153,7.8,95760
209,Khuzdar,27.8,66.6167,gram,loamy sand,8.61,Rabi,16.0,139.6,107,FYM,277,2.2,147134
210,Kohat,33.5861,71.4414,wheat,loam,2.22,Rabi,18.8,314.8,180,NPK,212,3.4,29970
211,Hafizabad,32.0709,73.688,date palm,sandy,6.95,Perennial,25.2,75.6,92,None,0,10.2,118365
212,Karachi,24.8607,67.0011,date palm,sandy,5.22,Perennial,25.8,68.0,76,None,0,9.7,90985
213,Lodhran,29.5383,71.6315,date palm,desert sand,2.91,Perennial,32.2,59.3,77,DAP,156,10.4,37179
214,Mingora,35.0266,72.276,date palm,desert sand,3.6,Perennial,31.4,59.7,53,NPK,166,9.4,45940
215,Hafizabad,32.0709,73.688,gram,loamy sand,7.26,Rabi,22.9,212.1,122,DAP,175,2.2,89523
216,Muzaffarabad,34.3702,73.4711,cotton,loam,1.19,Kharif,28.2,158.8,167,DAP,122,2.6,37314
217,Rawalpindi,33.5651,73.0169,potato,loam,1.03,Rabi,17.9,214.5,151,FYM,259,2.5,19106
218,Mirpur,33.1497,73.7515,apple orchard,rocky loam,4.13,Perennial,18.6,455.3,121,None,0,7.9,42374
219,Gwadar,25.1263,62.3225,cotton,loam,6.08,Kharif,26.6,310.9,176,None,0,1.8,94848
220,Mardan,34.1983,72.0452,sugarcane,clay loam,8.27,Kharif,34.6,525.1,245,Urea,173,52.6,223290
221,Chiniot,31.716,72.9814,rice,clay loam,6.54,Kharif,27.0,758.9,242,None,0,4.5,160099
222,Quetta,30.1798,66.975,rice,clay loam,8.07,Kharif,33.7,708.4,188,NPK,180,3.6,197554
223,Jhang,31.2682,72.3184,wheat,loam,5.9,Rabi,18.8,376.9,195,Urea,110,3.6,79650
224,Rawalpindi,33.5651,73.0169,sugarcane,loam,7.71,Kharif,34.2,434.1,198,Urea,120,55.8,173475
225,Swat,35.2217,72.4252,maize,loam,2.16,Kharif,24.2,431.7,192,FYM,203,3.9,31104
226,Lasbela,25.8694,66.7097,sugarcane,clay loam,1.4,Kharif,32.7,571.6,215,DAP,178,61.9,37800
227,Dera Ismail Khan,31.8322,70.9024,cotton,loam,6.62,Kharif,27.0,314.4,189,FYM,260,2.7,103272
228,Lodhran,29.5383,71.6315,wheat,clay loam,3.41,Rabi,18.8,280.1,236,Urea,188,3.9,55242
229,Sargodha,32.0836,72.6711,wheat,loam,5.93,Rabi,16.3,269.2,167,DAP,180,4.4,87260
230,Khanewal,30.3016,71.9351,apple orchard,loam,8.14,Perennial,13.2,418.7,175,NPK,209,7.3,92796
231,Lodhran,29.5383,71.6315,cotton,sandy loam,9.49,Kharif,27.2,228.0,111,FYM,302,3.0,169757
232,Bahawalpur,29.3956,71.6836,sugarcane,clay loam,9.31,Kharif,31.6,449.3,205,None,0,63.6,251370
233,Charsadda,34.1453,71.7436,cotton,sandy loam,9.67,Kharif,33.2,298.1,118,FYM,305,2.2,120682
234,Nawabshah,26.2483,68.4035,tobacco,loam,9.25,Kharif,27.4,360.2,178,Urea,132,2.4,116550
235,Swabi,34.1202,72.4697,wheat,clay loam,3.48,Rabi,17.6,245.5,246,FYM,332,3.3,72584
236,Baghsar,33.8667,74.7667,wheat,silty loam,4.76,Rabi,22.4,244.9,211,NPK,216,4.1,91362
